topic_id,highest_period,highest_prevalence,lowest_period,lowest_prevalence,range
4,EarlyModernist,0.3718091909598517,Georgian,0.020609474513405147,0.35119971644644654
5,Georgian,0.3518372433590862,EarlyModernist,0.01987823226059095,0.3319590110984953
7,LateVictorian,0.24869977238503996,Georgian,0.03484724426642075,0.2138525281186192
2,LateVictorian,0.22777286049962228,Georgian,0.07236182050716351,0.15541103999245875
3,Georgian,0.18796231657300388,EarlyModernist,0.03579298167591828,0.15216933489708562
1,EarlyVictorian,0.1983742861827819,EarlyModernist,0.07716739452944497,0.12120689165333694
6,Georgian,0.18080443692425563,Edwardian,0.08722002587735103,0.0935844110469046
