filename,date,decade,author,title,gender,gender_code,person,length,id,language
"EN_1900_Barr,Amelia_TheMaidofMaidenLane_Novel.txt",1900,1900,"Barr,Amelia",TheMaidofMaidenLane,female,F,third,80379,264,English
"EN_1900_Dreiser,Theodore_SisterCarrie_Novel.txt",1900,1900,"Dreiser,Theodore",SisterCarrie,male,M,third,156048,265,English
"EN_1900_Kipling,Rudyard_Kim_Novel.txt",1900,1900,"Kipling,Rudyard",Kim,male,M,third,104785,266,English
"EN_1901_Norris,Frank_TheOctopus_Novel.txt",1901,1900,"Norris,Frank",TheOctopus,male,M,third,195658,267,English
"EN_1902_Bellamy,Edward_Eleonora_Novel.txt",1902,1900,"Bellamy,Edward",Eleonora,male,M,third,72785,268,English
"EN_1902_Bennett,Arnold_GrandBabylonHotel_Novel.txt",1902,1900,"Bennett,Arnold",GrandBabylonHotel,male,M,third,67470,269,English
"EN_1903_London,Jack_TheCalloftheWild_Novel.txt",1903,1900,"London,Jack",TheCalloftheWild,male,M,third,31764,271,English
"EN_1903_Norris,Frank_ThePit_Novel.txt",1903,1900,"Norris,Frank",ThePit,male,M,third,123831,272,English
"EN_1903_James,Henry_TheAmbassadors_Novel.txt",1903,1900,"James,Henry",TheAmbassadors,male,M,third,154779,270,English
"EN_1904_Murfree,MaryNoailles_TheFrontiersman_Novel.txt",1904,1900,"Murfree,MaryNoailles",TheFrontiersman,female,F,third,65494,273,English
"EN_1905_Orczy,Emma_TheScarletPimpernel_Novel.txt",1905,1900,"Orczy,Emma",TheScarletPimpernel,female,F,third,83906,274,English
"EN_1905_Wharton,Edith_TheHouseofMirth_Novel.txt",1905,1900,"Wharton,Edith",TheHouseofMirth,female,F,third,129071,275,English
"EN_1906_London,Jack_WhiteFang_Novel.txt",1906,1900,"London,Jack",WhiteFang,male,M,third,71951,276,English
"EN_1906_Sinclair,Upton_TheJungle_Novel.txt",1906,1900,"Sinclair,Upton",TheJungle,male,M,third,149040,277,English
"EN_1906_Stein,Gertrude_ThreeLives_Novel.txt",1906,1900,"Stein,Gertrude",ThreeLives,female,F,third,86050,278,English
"EN_1908_Forster,E.M._ARoomWithaView_Novel.txt",1908,1900,"Forster,E.M.",ARoomWithaView,male,M,third,66445,279,English
"EN_1910_Forster,E.M._HowardsEnd_Novel.txt",1910,1910,"Forster,E.M.",HowardsEnd,male,M,third,108619,280,English
"EN_1911_Wharton,Edith_EthanFrome_Novel.txt",1911,1910,"Wharton,Edith",EthanFrome,female,F,first,34703,282,English
"EN_1911_Barrie,J.M._PeterPan_Novel.txt",1911,1910,"Barrie,J.M.",PeterPan,male,M,third,47295,281,English
"EN_1912_Cather,Willa_Alexander'sBridge_Novel.txt",1912,1910,"Cather,Willa",Alexander'sBridge,female,F,third,27130,283,English
"EN_1912_Dreiser,Theodore_TheFinancier_Novel.txt",1912,1910,"Dreiser,Theodore",TheFinancier,male,M,third,193150,284,English
"EN_1913_Lawrence,D.H._SonsandLovers_Novel.txt",1913,1910,"Lawrence,D.H.",SonsandLovers,male,M,third,160108,285,English
"EN_1915_Ford,FordMadox_TheGoodSoldier_Novel.txt",1915,1910,"Ford,FordMadox",TheGoodSoldier,male,M,first,75153,286,English
"EN_1916_Joyce,James_APortraitoftheArtistasaYoungMan_Novel.txt",1916,1910,"Joyce,James",APortraitoftheArtistasaYoungMan,male,M,third,84736,287,English
"EN_1917_Cahan,Abraham_TheRiseofDavidLevinsky_Novel.txt",1917,1910,"Cahan,Abraham",TheRiseofDavidLevinsky,male,M,first,168791,288,English
"EN_1917_Lewis,Sinclair_TheInnocents_Novel.txt",1917,1910,"Lewis,Sinclair",TheInnocents,male,M,third,41308,289,English
"EN_1917_Webb,Mary_GonetoEart_Novel.txt",1917,1910,"Webb,Mary",GonetoEart,female,F,third,81446,290,English
"EN_1918_Lewis,Sinclai_TheJob_Nove.txt",1918,1910,"Lewis,Sinclai",TheJob,male,M,third,90254,291,English
"EN_1920_DosPassos,John_ThreeSoldiers_Novel.txt",1920,1920,"DosPassos,John",ThreeSoldiers,male,M,first,133832,292,English
"EN_1920_Fitzgerald,FScott_ThisSideofParadise_Novel.txt",1920,1920,"Fitzgerald,FScott",ThisSideofParadise,male,M,third,71005,293,English
"EN_1920_Wharton,Edith_TheAgeofInnocence_Novel.txt",1920,1920,"Wharton,Edith",TheAgeofInnocence,female,F,third,101167,294,English
"EN_1922_Fitzgerald,FScott_TheBeautifulandtheDamned_Novel.txt",1922,1920,"Fitzgerald,FScott",TheBeautifulandtheDamned,male,M,third,123338,295,English
"EN_1922_Joyce,James_Ulysses_Novel.txt",1922,1920,"Joyce,James",Ulysses,male,M,first,264170,296,English
"EN_1925_Woolf,Virginia_Mrs.Dalloway_Novel.txt",1925,1920,"Woolf,Virginia",Mrs.Dalloway,female,F,third,63367,297,English
"EN_1927_Woolf,Virginia_TotheLighthouse_Novel.txt",1927,1920,"Woolf,Virginia",TotheLighthouse,female,F,third,69276,298,English
"EN_1928_Woolf,Virginia_Orlando_Novel.txt",1928,1920,"Woolf,Virginia",Orlando,female,F,third,78380,299,English
"EN_1930_Mansfield,Katherine_TheAloe_Novel.txt",1930,1930,"Mansfield,Katherine",TheAloe,female,F,third,25870,300,English
